Time Stamp,pos X,pos Y,speed X,speed Y
1,650.0,202.0,1.2246467991473532e-16,2.0
2,650.0,206.0,2.4492935982947064e-16,4.0
3,650.0,211.0,3.6739403974420594e-16,5
4,650.0,216.0,4.898587196589413e-16,5
5,650.0,221.0,6.123233995736766e-16,5
6,650.0,226.0,7.34788079488412e-16,5
7,650.0,231.0,8.572527594031473e-16,5
8,650.0,236.0,9.797174393178826e-16,5
9,650.0,241.0,1.102182119232618e-15,5
10,650.0,246.0,1.2246467991473533e-15,5
11,650.0,251.0,1.3471114790620886e-15,5
12,650.0,256.0,1.469576158976824e-15,5
13,650.0,261.0,1.5920408388915593e-15,5
14,650.0,266.0,1.7145055188062946e-15,5
15,650.0,271.0,1.83697019872103e-15,5
16,649.9862775254833,276.0,-0.013722474516727102,5
17,649.9354525747254,281.0,-0.050824950757868186,5
18,649.8208896627121,286.0,-0.1145629120133165,5
19,649.6120000419808,291.0,-0.20888962073143308,5
20,649.2728799269604,296.0,-0.33912011502031314,5
21,648.7589491787428,301.0,-0.513930748217612,5
22,648.0047444925655,306.0,-0.7542046861773705,5
23,646.7983453393222,311.0,-1.2063991532432488,5
24,645.722811461304,314.00428602256227,-1.0755338780181987,3.004286022562283
25,644.9228522760034,315.027648374527,-0.7999591853006083,1.0233623519647497
26,644.4914377668598,314.085260279035,-0.4314145091435372,-0.9423880954919663
27,644.5357643563336,311.20027845167675,0.04432658947380713,-2.884981827358298
28,645.2096026135512,306.4169512763445,0.6738382572175845,-4.7833271753322775
29,646.7874810731397,301.4169512763445,1.5778784595885798,-5
30,649.6686753390009,296.4169512763445,2.8811942658611867,-5
31,654.4471873558025,291.4169512763445,4.778512016801657,-5
32,659.4471873558025,288.24344660405734,5,-3.173504672287169
33,664.1323447743249,287.045005006431,4.685157418522441,-1.1984415976263756
34,667.945270996741,287.64634471233535,3.812926222416062,0.6013397059043717
35,670.3659423786612,289.68352091976624,2.4206713819202093,2.037176207430875
36,670.8240468882731,292.105835117686,0.45810450961186366,2.4223141979197877
37,669.9138545282126,293.0694637167035,-0.9101923600604935,0.9636285990175335
38,668.600843899606,292.0740779098206,-1.313010628606555,-0.9953858068829318
39,667.4381714238087,289.084350497342,-1.1626724757972582,-2.989727412478595
40,666.9240066534965,284.2026828754681,-0.5141647703122704,-4.881667621873859
41,668.1528226733277,279.2026828754681,1.2288160198312155,-5
42,670.1775359705327,276.0374982677812,2.0247132972050217,-3.1651846076869306
43,672.2845689920437,274.8706188077107,2.1070330215109476,-1.1668794600705321
